,title,cast,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,vote_average,vote_count,director,Action,Adventure,Animation,Fantasy,Science Fiction,Romance,TV Movie,Crime,Thriller,Horror,Drama,Comedy,Foreign,Family,Mystery,War,History,Documentary,Music,Western,Steven Spielberg,Clint Eastwood,Ridley Scott,Robert Rodriguez,Martin Scorsese,Renny Harlin,Steven Soderbergh,Tim Burton,Oliver Stone,Robert Zemeckis,Brian De Palma,Woody Allen,Michael Bay,Joel Schumacher,Tony Scott,Bobby Farrelly,Ron Howard,Kevin Smith,Paul W.S. Anderson,David Fincher,Richard Donner,Rob Reiner,Shawn Levy,Richard Linklater,Wes Craven,Francis Ford Coppola,John Carpenter,Spike Lee,Barry Levinson,Chris Columbus,Peter Jackson,Joel Coen,M. Night Shyamalan,Rob Cohen,Adam Shankman,Quentin Tarantino,Christopher Nolan,Antoine Fuqua,Danny Boyle,Dennis Dugan,Bryan Singer,Roland Emmerich,John McTiernan,Alfred Hitchcock,Sam Raimi,F. Gary Gray,Stephen Frears,Todd Phillips,John Singleton,Phillip Noyce,Doug Liman,Zack Snyder,Lasse Hallström,James Cameron,Tom Shadyac,Harold Ramis,Martin Campbell,Jay Roach,Simon West,Sam Mendes,George Miller,Edward Zwick,Marc Forster,Ang Lee,Gore Verbinski,Wolfgang Petersen,Wes Anderson,Brett Ratner,Barry Sonnenfeld,Guy Ritchie,Garry Marshall,Paramount Pictures,Universal Pictures,Columbia Pictures,Twentieth Century Fox Film Corporation,New Line Cinema,Walt Disney Pictures,Village Roadshow Pictures,United Artists,Miramax Films,Columbia Pictures Corporation,Warner Bros.,DreamWorks SKG
225,Speed Racer,"['Emile Hirsch', 'Christina Ricci', 'Matthew Fox']",120000000.0,"['Action', 'Family', 'Science Fiction']",en,17.060695000000006,"['Village Roadshow Pictures', 'Studio Babelsberg', 'Anarchos Productions']","['Australia', 'Germany', 'United States of America']",2008-05-09,93945766.0,135.0,['English'],5.7,354.0,Lilly Wachowski,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
226,How Do You Know,"['Reese Witherspoon', 'Paul Rudd', 'Owen Wilson']",120000000.0,"['Comedy', 'Drama', 'Romance']",en,11.137655,"['Columbia Pictures', 'Gracie Films', 'Road Rebel']",['United States of America'],2010-12-17,48668907.0,121.0,['English'],4.9,223.0,James L. Brooks,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
227,Knight and Day,"['Tom Cruise', 'Cameron Diaz', 'Peter Sarsgaard']",117000000.0,"['Action', 'Comedy']",en,44.906918,"['Tree Line Films', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment']",['United States of America'],2010-06-15,261930431.0,109.0,"['English', 'Deutsch', 'Español']",5.9,1547.0,James Mangold,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
228,Oblivion,"['Tom Cruise', 'Morgan Freeman', 'Olga Kurylenko']",120000000.0,"['Action', 'Science Fiction', 'Adventure', 'Mystery']",en,67.698004,"['Universal Pictures', 'Chernin Entertainment', 'Relativity Media']",['United States of America'],2013-04-10,286168572.0,124.0,['English'],6.4,4800.0,Joseph Kosinski,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
229,Star Wars: Episode III - Revenge of the Sith,"['Ewan McGregor', 'Natalie Portman', 'Hayden Christensen']",113000000.0,"['Science Fiction', 'Adventure', 'Action']",en,44.108427,['Lucasfilm'],['United States of America'],2005-05-17,850000000.0,140.0,['English'],7.1,4116.0,George Lucas,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,Star Wars: Episode II - Attack of the Clones,"['Ewan McGregor', 'Natalie Portman', 'Hayden Christensen']",120000000.0,"['Adventure', 'Action', 'Science Fiction']",en,43.987061,['Lucasfilm'],['United States of America'],2002-05-15,649398328.0,142.0,['English'],6.4,3992.0,George Lucas,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,"Monsters, Inc.","['John Goodman', 'Billy Crystal', 'Mary Gibbs']",115000000.0,"['Animation', 'Comedy', 'Family']",en,106.815545,"['Walt Disney Pictures', 'Pixar Animation Studios']",['United States of America'],2001-11-01,562816256.0,92.0,['English'],7.5,5996.0,Pete Docter,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
232,The Wolverine,"['Hugh Jackman', 'Hiroyuki Sanada', 'Famke Janssen']",120000000.0,"['Action', 'Science Fiction', 'Adventure', 'Fantasy']",en,15.953444,"['Twentieth Century Fox Film Corporation', '""Donners Company""', 'Marvel Entertainment']","['United Kingdom', 'United States of America']",2013-07-23,415440673.0,126.0,['English'],6.3,4053.0,James Mangold,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
233,Star Wars: Episode I - The Phantom Menace,"['Liam Neeson', 'Ewan McGregor', 'Natalie Portman']",115000000.0,"['Adventure', 'Action', 'Science Fiction']",en,54.035265,['Lucasfilm'],['United States of America'],1999-05-19,924317558.0,136.0,['English'],6.3,4432.0,George Lucas,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,The Croods,"['Nicolas Cage', 'Emma Stone', 'Ryan Reynolds']",135000000.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",en,64.18332099999999,['DreamWorks Animation'],['United States of America'],2013-03-20,585178928.0,98.0,['English'],6.8,2399.0,Chris Sanders,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,Asterix at the Olympic Games,"['Clovis Cornillac', 'Gérard Depardieu', 'Franck Dubosc']",97250400.0,"['Fantasy', 'Adventure', 'Comedy', 'Family']",fr,20.344364,"['Constantin Film', 'TF1 Films Productions', 'Pathé Renn Productions']","['Belgium', 'France', 'Germany', 'Italy', 'Spain']",2008-01-13,132900000.0,116.0,"['Français', 'Português']",5.0,471.0,Thomas Langmann,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,Windtalkers,"['Nicolas Cage', 'Adam Beach', 'Peter Stormare']",115000000.0,"['Drama', 'Action', 'History', 'War']",en,18.714197,"['Lion Rock Productions', 'Metro-Goldwyn-Mayer (MGM)']",['United States of America'],2002-06-14,77628265.0,134.0,"['English', '日本語', '']",5.8,341.0,John Woo,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,The Huntsman: Winter's War,"['Chris Hemsworth', 'Charlize Theron', 'Emily Blunt']",115000000.0,"['Action', 'Adventure', 'Drama']",en,60.467984,"['Universal Pictures', 'Perfect World Pictures', 'Roth Films']",['United States of America'],2016-04-06,164602163.0,114.0,['English'],6.0,1523.0,Cedric Nicolas-Troyan,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
238,Teenage Mutant Ninja Turtles,"['Megan Fox', 'Will Arnett', 'William Fichtner']",125000000.0,"['Science Fiction', 'Action', 'Adventure', 'Fantasy', 'Comedy']",en,143.350376,"['Paramount Pictures', 'Nickelodeon Movies', 'Platinum Dunes']",['United States of America'],2014-08-07,477200000.0,101.0,['English'],5.8,2636.0,Jonathan Liebesman,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
239,Gravity,"['Sandra Bullock', 'George Clooney', 'Ed Harris']",105000000.0,"['Science Fiction', 'Thriller', 'Drama']",en,110.153618,"['Warner Bros.', 'Heyday Films', 'Esperanto Filmoj']","['United Kingdom', 'United States of America']",2013-09-27,716392705.0,91.0,['English'],7.3,5751.0,Alfonso Cuarón,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
240,Dante's Peak,"['Pierce Brosnan', 'Linda Hamilton', 'Jamie Renée Smith']",116000000.0,"['Action', 'Adventure', 'Thriller']",en,16.90444,"['Universal Pictures', 'Pacific Western']",['United States of America'],1997-02-07,178127760.0,108.0,['English'],5.7,428.0,Roger Donaldson,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
241,Teenage Mutant Ninja Turtles: Out of the Shadows,"['Megan Fox', 'Stephen Amell', 'Will Arnett']",135000000.0,"['Fantasy', 'Action', 'Adventure', 'Comedy']",en,39.873791,"['Paramount Pictures', 'Nickelodeon Movies', 'Platinum Dunes']","['China', 'United States of America', 'Hong Kong']",2016-06-01,245623848.0,112.0,['English'],5.8,963.0,Dave Green,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
242,Fantastic Four,"['Miles Teller', 'Kate Mara', 'Michael B. Jordan']",120000000.0,"['Action', 'Adventure', 'Science Fiction']",en,38.126095,"['Twentieth Century Fox Film Corporation', 'Marv Films', 'Marvel Entertainment']",['United States of America'],2015-08-05,167977596.0,100.0,['English'],4.4,2278.0,Josh Trank,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
243,Night at the Museum,"['Ben Stiller', 'Jake Cherry', 'Carla Gugino']",110000000.0,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']",en,48.780039,"['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', '1492 Pictures']","['United States of America', 'United Kingdom']",2006-10-20,574480841.0,108.0,"['English', 'Italiano', 'עִבְרִית']",6.3,2862.0,Shawn Levy,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
244,San Andreas,"['Dwayne Johnson', 'Alexandra Daddario', 'Carla Gugino']",110000000.0,"['Action', 'Drama', 'Thriller']",en,100.412364,"['New Line Cinema', 'Village Roadshow Pictures', 'Warner Bros.']","['Canada', 'United States of America', 'Australia']",2015-05-27,470490832.0,114.0,['English'],6.0,2968.0,Brad Peyton,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
245,Tomorrow Never Dies,"['Pierce Brosnan', 'Jonathan Pryce', 'Michelle Yeoh']",110000000.0,"['Adventure', 'Action', 'Thriller']",en,42.887121,['Eon Productions'],"['United Kingdom', 'United States of America']",1997-12-11,333011068.0,119.0,"['Deutsch', 'English', 'Dansk', '普通话', '广州话/廣州話']",6.0,925.0,Roger Spottiswoode,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,The Patriot,"['Mel Gibson', 'Heath Ledger', 'Joely Richardson']",110000000.0,"['Drama', 'History', 'War', 'Action']",en,23.657284,"['Centropolis Entertainment', 'Columbia Pictures Corporation', 'Mutual Film Company']","['Germany', 'United States of America']",2000-06-28,215294342.0,165.0,['English'],6.8,1099.0,Roland Emmerich,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
247,Ocean's Twelve,"['George Clooney', 'Brad Pitt', 'Catherine Zeta-Jones']",110000000.0,"['Thriller', 'Crime']",en,76.840712,"['Village Roadshow Pictures', 'Section Eight', 'Jerry Weintraub Productions']",['United States of America'],2004-12-09,362744280.0,125.0,"['Français', 'Italiano', 'Nederlands', '普通话', 'English']",6.4,2124.0,Steven Soderbergh,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
248,Mr. & Mrs. Smith,"['Angelina Jolie', 'Brad Pitt', 'Vince Vaughn']",110000000.0,"['Action', 'Comedy', 'Drama', 'Thriller']",en,44.635452,"['Weed Road Pictures', 'Summit Entertainment', 'Regency Enterprises']",['United States of America'],2005-06-07,478207520.0,120.0,"['English', 'Español']",6.5,2965.0,Doug Liman,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,Insurgent,"['Shailene Woodley', 'Theo James', 'Kate Winslet']",110000000.0,"['Adventure', 'Science Fiction', 'Thriller']",en,103.718387,"['Summit Entertainment', 'Mandeville Films', 'Red Wagon Entertainment']",['United States of America'],2015-03-18,295238201.0,119.0,['English'],6.2,3829.0,Robert Schwentke,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,The Aviator,"['Leonardo DiCaprio', 'Cate Blanchett', 'Kate Beckinsale']",116000000.0,['Drama'],en,45.616098,"['Miramax Films', 'Appian Way', 'Forward Pass']",['United States of America'],2004-12-17,102000000.0,170.0,['English'],7.0,1489.0,Martin Scorsese,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
251,Gulliver's Travels,"['Jack Black', 'Amanda Peet', 'Emily Blunt']",112000000.0,['Comedy'],en,22.845143,"['Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Davis Entertainment']",['United States of America'],2010-12-25,237382724.0,85.0,['English'],4.9,621.0,Rob Letterman,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
252,The Green Hornet,"['Seth Rogen', 'Jay Chou', 'Christoph Waltz']",120000000.0,"['Action', 'Crime', 'Comedy']",en,31.703608000000006,"['Original Film', 'Sony Pictures Entertainment', 'Reliance BIG Entertainment']",['United States of America'],2011-01-12,227817248.0,119.0,"['English', '普通话']",5.5,1251.0,Michel Gondry,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,300: Rise of an Empire,"['Sullivan Stapleton', 'Eva Green', 'Lena Headey']",110000000.0,"['Action', 'War']",en,71.51059599999998,"['Legendary Pictures', 'Hollywood Gang Productions', 'Atmosphere Entertainment MM']",['United States of America'],2014-03-05,337580051.0,102.0,['English'],6.1,2397.0,Noam Murro,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,The Smurfs,"['Hank Azaria', 'Neil Patrick Harris', 'Jayma Mays']",110000000.0,"['Animation', 'Family', 'Adventure', 'Comedy', 'Fantasy']",en,36.65422,"['Columbia Pictures', 'Sony Pictures Animation', 'Kerner Entertainment Company']",['United States of America'],2011-07-29,563749323.0,103.0,['English'],5.5,1179.0,Raja Gosnell,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
255,Home on the Range,"['Roseanne Barr', 'Judi Dench', 'Jennifer Tilly']",110000000.0,"['Animation', 'Family']",en,19.625972,['Walt Disney Pictures'],['United States of America'],2004-04-02,103951461.0,76.0,"['普通话', 'English']",5.7,389.0,Will Finn,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
256,Allegiant,"['Shailene Woodley', 'Theo James', 'Zoë Kravitz']",110000000.0,"['Adventure', 'Science Fiction']",en,86.105615,"['Summit Entertainment', 'Lionsgate', 'Mandeville Films']",['United States of America'],2016-03-09,179246868.0,121.0,['English'],5.9,1998.0,Robert Schwentke,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,Real Steel,"['Hugh Jackman', 'Dakota Goyo', 'Evangeline Lilly']",110000000.0,"['Action', 'Science Fiction', 'Drama']",en,37.19504600000001,"['DreamWorks SKG', '21 Laps Entertainment', 'Reliance Entertainment']","['India', 'United States of America']",2011-09-28,299268508.0,127.0,['English'],6.6,2692.0,Shawn Levy,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
258,The Smurfs 2,"['Hank Azaria', 'Neil Patrick Harris', 'Brendan Gleeson']",105000000.0,"['Fantasy', 'Family', 'Comedy', 'Animation']",en,32.473628000000005,"['Columbia Pictures', 'Sony Pictures Animation', 'Kerner Entertainment Company']",['United States of America'],2013-07-30,347434178.0,105.0,['English'],5.5,695.0,Raja Gosnell,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
259,Speed 2: Cruise Control,"['Sandra Bullock', 'Jason Patric', 'Willem Dafoe']",160000000.0,"['Action', 'Adventure', 'Thriller']",en,23.336875,"['Twentieth Century Fox Film Corporation', 'Blue Tulip Productions']",['United States of America'],1997-06-13,164508066.0,121.0,"['English', 'Português']",4.1,434.0,Jan de Bont,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
